indonesi;indonesia
unk;untuk
jamanya;zamannya
jeuangan;keuangan
prof;profesor
udahmakmur;sudah makmur
rahyatnya;rakyatnya
uanuya;uangnya
kembalik;kembali
uu;undang_undang
apapun;apa pun
emak;ibu
rban;ribuan
kemerdean;kemerdekaan
slm;salam
pling;paling
lulyono;jokowi
pajakfan;pajak dan
hutng;hutang
menaikan;menaikkan
ngra;negara
hrusnya;harusnya
hsl;hasil
utang;hutang
mcm²;macam_macam
kcl;kecil
bsr;besar
ju²r;jujur
pjknya;pajaknya
ubtungan;untungan
bxk;banyak
mcm;macam
koroptor;koruptor
pmrintah;pemerintah
jngnbhrap;jangan berhadap
mmbrantas;memberantas
pajsk;pajak
kmiskinan;kemiskinan
akn;akan
brtmbah;bertambah
crdas;cerdas
jka;jika
dinaikn;dinaikkan
kbutuhn;kebutuhan
kcil;kecil
brntas;berantas
miskinkn;miskinkan
mksh;terima_kasih
melum;belum
apagunanya;apa gunanya
uangan;keuangan
packing;kemasan
gw;saya
ud;sudah
cm;hanya
samsul;gibran
wiwi;jokowi
nyaur;mengganti
perna;pernah
ssling;saling
jujue;jujur
mngerti;mengerti
pandai;pintar
korupdi;koruptor
gembrot;gemuk
pinjol;pinjaman_online
krna;karena
bhkan;bahkan
lo;kamu
sp;siapa
bnyak;banyak
brontak;berontak
pda;pada
tnya;tanya
jawad;jawab
kliatan;kelihatan
knak;kena
inginya;inginnya
gr;gara_gara
jangn;jangan
knaikan;kenaikan
stop;berhentikan
lbih;lebih
devlasi;deflasi
kiat;lihat
penambaha;penambahan
jls;jelas
kado;hadiah
sdg;sedang
disupermarket;di supermarket
cman;hanya
naekin;menaikkan
export;ekspor
srimulyani;sri_mulyani
system;sistem
dipasyikan;dipastikan
kebutihan;kebutuhan
maseh;masih
kya;kaya
rakyt;rakyat
az;saja
gda;tidak_ada
alfa;alfamart
persaan;perasaan
klauu;kalau
masyrkat;masyarakat
lnjutln;lanjutkan
seklian;sekalian
yaa;ya
cepet;cepat
skrng;sekarang
jngan;jangan
smpe;sampai
sjh;saja
diem;diam_diam
info;informasi
klo;kalau
aje;saja
ntr;nanti
make;pakai
harga²;harga
warung²;warung
indomart;indomaret
masyrakat;masyarakat
prestaasi;prestasi
sma;sama
kitav;kita
rame;ramai
pon;ppn
rskyat;rakyat
sgn;dengan
koq;kok
peara;para
dtrima;di terima
kemakmurn;kemakmuran
dn;dan
qo;kok
kemanah;kemana
dimanah;dimana
tima;timah
wahay;wahai
plaku;pelaku
utuk;untuk
kenegara;ke negara
sebb;karena
prikemanusian;peri_kemanusiaan
ujung;ujung
rakyaaaaat;rakyat
gausa;tidak_usah
pemerinta;pemerintah
ampuuuun;ampun
ko;kok
karnaula;karena ulah
elù;kamu
pemerinth;pemerintah
lbh;lebih
sdgkan;sedangkan
lu;kamu
bener;benar
skil;kemampuan
ojol;ojek_online
brp;berapa
kau;kamu
mo;mau
glamour;mewah
prilaku;perilaku
pnyelewengan;penyelewengan
mngemvalikan;mengembalikan
kkyaan;kekayaan
bngsa;bangsa
hilag;hilang
mnyelamatakn;menyelamatkan
nimbulkan;menimbulkan
mhn;mohon
cukuo;cukup
jkw;jokowi
edan;gila
jateng;jawa_tengah
muliani;sri_mulyani
hrsny;harusnya
bnykny;banyaknya
org;orang
president;presiden
ne;ini
engak;tidak
byar;bayar
smua;semua
alem;alam
deruta;derita
leangkap;lengkap
tudak;tidak
banar;benar
kenaikn;kenaikan
berapapun;berapa pun
kembail;kembali
jt;juta
setujuh;setuju
brg;barang
gaak;tidak
ntar;nanti
prsawat;pesawat
sayaratnya;syaratnya
korpu;korup
diindo;di indonesia
beaya;biaya
elite;elit
maap;maaf
las;akhir
minute;menit
elu;kamu
gua;saya
srii;sri_mulyani
dh;sudah
kmren;kemarin
tk;tidak
hny;hanya
brmotor;bermotor
sprti;seperti
ap;apa
trilyun;triliun
naikan;naikkan
next;selanjutnya
hold;tahan
didenger;di dengar
tidas;tindas
ngapain;mengapa
mnyekik;menyekik
khidupan;kehidupan
mmaksa;memaksa
kpada;kepada
klean;kalian
brarti;berarti
berkerja;bekerja
knak;kena
mnt;minta
tmbh;tambah
terwawa;tertawa
akn;akan
sebelumnta;sebelumnya
janganmain;jangan main
janjitidaakan;janji tidak akan
najk;naik
brtagungjab;bertanggungjawab
diucapka;diucapkan
pras;peras
pajaknaik;pajak naik
ygbayar;yang bayar
bukanasyarakat;bukan 
govt;pemerintahan
maikan;naikkan
nikin;naikkan
butu;butuh
naikin;naikkan
kaga;tidak
kasi;kasih
konoha;indonesia
srimolyani;sri_mulyani
buangsaja;buang saja
terlulu;terlalu
sensarah;sengsara
orgil;orang gila
ttp;tetap
nlm;belum
cumak;hanya
krang;kurang
kurupsi;korupsi
klu;kalau
sj;saja
koropsi;korupsi
rakyatebsdh;rakyat sudah
jekik;cekik
seharuse;seharusnya
duwet;uang
rakyate;rakyat
triun;triliun
stu;satu
kluarga;keluarga
brantas;berantas
sepwrti;seperti
spt;seperti
klo;kalau
nnti;nanti
egk;tidak
id;indonesia
kecekek;kecekik
biyaya;biaya
geratis;gratis
pst;pasti
hrg;harga
nnt;nanti
aj;saja
klu;kalau
kmrn;kemarin
sp;siapa
bowo;prabowo
aga;agak
maslah;masalah
stanting;stunting
ntah;entah
fiurus;diurus
management;managemen
lemot;lambat
maduk;masuk
gedein;besarkan
konsoltasinya;konsultasinya
thhn;tahun
kusus;khusus
klas;kelas
yarakyat;rakyat
selamatya;selamat
napa;kenapa
dak;tidak
kecina;ke china
dilihara;dipelihara
sm;sama
justrus;justru
rbu;ribu
bngeeeet;banget
kyaknya;sepertinya
buk;ibu
flesing;pamer
fleksing;pamer
ajh;saja
uqng;uang
tapinyg;tapi yang
ads;ikan
tu;itu
dengerin;dengarkan
