"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1878041399779598495","Sat Jan 11 11:30:30 +0000 2025","0","nolak ppn 12% aja rakyat satu negara ngos-ngosan nentangnya","1878041791192261042","","sariebut","in","Kerberos 🜃⚓","0","0","0","https://x.com/sariebut/status/1878041791192261042","138282392","sariebut"
"1877999531536838742","Sat Jan 11 08:59:07 +0000 2025","0","@miungje RIBET BANGET HARUS PREMIUM NANTI KENA PPN 12%","1878003694861504951","","miungje","in","","0","0","0","https://x.com/Yawnzbzn/status/1878003694861504951","2413801717","Yawnzbzn"
"1692548270445473888","Sat Jan 11 08:58:00 +0000 2025","0","Open joki tugas dan ujian Wa: https://t.co/mNRIdeY2p6 1.Brevet SPT dan pajak 3.MANAJEMEN PAJAK 4.AKUNTANSI PAJAK 5.SPT PPN PPH 6.BEA CUKAI 7.PPN PPB BPHTB 8.PAJAK DAERAH 9.HUKUM PAJAK 10.MAKALAH 11.Tugas akhir jurnal 12.essai 13.KUP 14.Analisis kasus #zonauang #jokitugas https://t.co/nZQ2zILE1M","1878003414388392102","https://pbs.twimg.com/media/GhACJthaYAAc8CU.jpg","JokiHallo","in","Jawa Timur, Indonesia","0","1","0","https://x.com/JokiHallo/status/1878003414388392102","1490251734106898432","JokiHallo"
"1878002469688807767","Sat Jan 11 08:54:15 +0000 2025","0","Kenapa sih kencing laki² tuh bau banget Pesing? ","1878002469688807767","","","in","","0","0","0","https://x.com/easyyyydollarrr/status/1878002469688807767","1864226095983415298","easyyyydollarrr"
"1877998956678205847","Sat Jan 11 08:40:17 +0000 2025","1","Gue habis adu argumen sama mama (lagi) perkara pragib (lagi) Gue bilang PPN naik 12% gue lampirin buktinya. Dibantah yg naik cuma barang2 mewah. Gue jelasin pelan2 masih bantah. Oke...","1877998956678205847","","","in","mask fool","0","1","0","https://x.com/harumasadepok/status/1877998956678205847","1810722252801134592","harumasadepok"
"1877998375561494582","Sat Jan 11 08:37:58 +0000 2025","0","di era tempuran ppn 12% orang-orang masih bisa lucu BIG THANKS","1877998375561494582","","","in","","0","0","0","https://x.com/fxbza/status/1877998375561494582","540525285","fxbza"
"1877994659848630547","Sat Jan 11 08:23:13 +0000 2025","1","Kekuasaan berlebih selain meningkatkan kemungkinan absolutisme juga berpotensi meningkatkan perilaku korup.","1877994659848630547","","","in","","0","0","0","https://x.com/Thaharizieq3/status/1877994659848630547","1405789177065525253","Thaharizieq3"
"1877994157224202623","Sat Jan 11 08:21:13 +0000 2025","1","42 9% gaji/pendapatan tetap dosen di Indonesia masih dibawah 3 JT sekedar mengingatkan.","1877994157224202623","","","in","","0","0","0","https://x.com/Thaharizieq3/status/1877994157224202623","1405789177065525253","Thaharizieq3"
"1877610314566406583","Sat Jan 11 08:11:30 +0000 2025","0","@tubbirfess Kata siapa semua 02 voters gak peduli dgn hal² tersebut especially ppn 12% itu?","1877991713924657419","","tubbirfess","in","","0","1","0","https://x.com/schn346/status/1877991713924657419","1214453094680944640","schn346"
"1877988504782958593","Sat Jan 11 08:05:56 +0000 2025","0","@Goldmind_82 PSS juga ada kartus AS di bangku cadangan. Bismillah 3 poin untuk @PSSleman ","1877990311965962249","","Goldmind_82","in","London, England","0","1","0","https://x.com/kevinrexanda/status/1877990311965962249","1728103772671602690","kevinrexanda"
"1877574522586513554","Sat Jan 11 08:05:29 +0000 2025","0","@tekarok007 @Gerindra klo miskin juga udh tua g bkl lama miskinnya program pemerintah pake uang pribadi apa itu namanya birokrasi dan nandain perncanaan programnya buruk.","1877990200271618329","","tekarok007","in","","0","0","0","https://x.com/Thaharizieq3/status/1877990200271618329","1405789177065525253","Thaharizieq3"
"1877989522560233679","Sat Jan 11 08:02:48 +0000 2025","1","Guru under qualified solusinya datengin guru LN yg qualified begitu cara pikir pemerintah kita. Apa itu perbaikan kualifikasi dan kompetensi guru?","1877989522560233679","","","in","","0","0","0","https://x.com/Thaharizieq3/status/1877989522560233679","1405789177065525253","Thaharizieq3"
"1877988494385303908","Sat Jan 11 07:58:43 +0000 2025","1","Coba pak @luhut_binsar yth anda lihat ke sisi lain. Rakyat dibebani ppn 12% hanya bisa pasrah menerima. Coba bpk tanyakan pak ke para koruptor itu uang dari rakyat udah dikantongi berapaa??","1877988494385303908","","","in","Indonesia","0","1","0","https://x.com/mwpptr/status/1877988494385303908","1604488859684720640","mwpptr"
"1877988356501668297","Sat Jan 11 07:58:10 +0000 2025","0","Sejauh ini aman terkendali","1877988356501668297","","","in","","0","0","0","https://x.com/easyyyydollarrr/status/1877988356501668297","1864226095983415298","easyyyydollarrr"
"1877987878359511543","Sat Jan 11 07:56:16 +0000 2025","0","Kalo langit udah agak teduh ketar ketir","1877987878359511543","","","in","","0","0","0","https://x.com/easyyyydollarrr/status/1877987878359511543","1864226095983415298","easyyyydollarrr"
"1877987694522851821","Sat Jan 11 07:55:32 +0000 2025","0","Doa gw hari ini jangan ujan dulu cucian gw banyak ","1877987694522851821","","","in","","0","0","0","https://x.com/easyyyydollarrr/status/1877987694522851821","1864226095983415298","easyyyydollarrr"
"1876923468303704066","Sat Jan 11 07:54:55 +0000 2025","0","@hiheonbaek Udah kayak ppn aja ia naiknya 12% ","1877987540399202617","","hiheonbaek","in","@FNHYPEN (2002)","0","0","0","https://x.com/jmke/status/1877987540399202617","45846923","jmke"
"1877987513211494721","Sat Jan 11 07:54:49 +0000 2025","0","Ternyata dari semalem ke tendang melon","1877987513211494721","","","in","","0","0","0","https://x.com/easyyyydollarrr/status/1877987513211494721","1864226095983415298","easyyyydollarrr"
"1877893956471857468","Sat Jan 11 04:52:57 +0000 2025","1","@nozelism admin sok asik suka ngurusin konten receh giliran ditanya masalah urgent kayak ppn 12% ga berani bales sekalinya bales balesnya lama banget wkwkwj","1877941747508219963","","nozelism","in","","0","0","0","https://x.com/anginmalammmmmm/status/1877941747508219963","1707317035246698496","anginmalammmmmm"
"1877939646979571760","Sat Jan 11 04:44:36 +0000 2025","0","Ya karena mereka ppn 12 persen dan aturan2 kontol lainnya ada","1877939646979571760","","","in","","0","0","0","https://x.com/avakadabrah/status/1877939646979571760","1658777115544924161","avakadabrah"
"1877908406906024098","Sat Jan 11 04:38:11 +0000 2025","0","@GSWARIIors Fyi tempat gua kerja juga dah dikenakan PPN 12% naik sekitar 5-10k per produk","1877938030453092564","","GSWARIIors","in","","0","0","0","https://x.com/Rienty81/status/1877938030453092564","1543484218663063552","Rienty81"
"1877195982300971092","Sat Jan 11 04:23:17 +0000 2025","0","@Franken_blues @AirinDatangLagi Sejak Perppu Cipta Kerja 2023 perusahaan batubara dibebaskan dari kewajiban membayar royalti. Akibatnya? Negara kehilangan Rp33 8 T per tahun. PPN memang batal naik jadi 12% tapi jangan lupa sejak 2022 PPN sudah naik jadi 11%. Siapa yang menanggung? Rakyat kecil. Polanya?","1877934281755877879","","Franken_blues","in","","0","0","0","https://x.com/SOktafitri1304/status/1877934281755877879","1830458890464686080","SOktafitri1304"
